mal_id	title	season	genres	type	episodes	score	members	img	prequels_id	is_sequel
32282	Shokugeki no Souma: Ni no Sara	Summer 2016	{'Ecchi', 'School', 'Shounen'}	TV	13	8.43	480531	https://cdn.myanimelist.net/images/anime/8/79353.jpg	{28171}	False
10087	Fate/Zero	Fall 2011	{'Action', 'Supernatural', 'Magic', 'Fantasy'}	TV	13	8.42	759235	https://cdn.myanimelist.net/images/anime/2/73249.jpg	{}	False
37105	Grand Blue	Summer 2018	{'Comedy', 'Seinen', 'Slice of Life'}	TV	12	8.42	173814	https://cdn.myanimelist.net/images/anime/1302/94882.jpg	{}	False
6594	Katanagatari	Winter 2010	{'Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance'}	TV	12	8.42	324510	https://cdn.myanimelist.net/images/anime/2/50023.jpg	{}	False
5341	Ookami to Koushinryou II	Summer 2009	{'Adventure', 'Historical', 'Romance', 'Fantasy'}	TV	12	8.42	307333	https://cdn.myanimelist.net/images/anime/6/59399.jpg	{6007}	False
2559	Romeo no Aoi Sora	Winter 1995	{'Adventure', 'Drama', 'Historical', 'Slice of Life'}	TV	33	8.42	25880	https://cdn.myanimelist.net/images/anime/4/17979.jpg	{}	False
12531	Sakamichi no Apollon	Spring 2012	{'Drama', 'Josei', 'Music', 'Romance', 'School'}	TV	12	8.42	216473	https://cdn.myanimelist.net/images/anime/12/79781.jpg	{}	False
25835	Shirobako	Fall 2014	{'Comedy', 'Drama'}	TV	24	8.42	259970	https://cdn.myanimelist.net/images/anime/1918/93511.jpg	{}	False
31964	Boku no Hero Academia	Spring 2016	{'Action', 'Comedy', 'School', 'Shounen', 'Super Power'}	TV	13	8.41	1012170	https://cdn.myanimelist.net/images/anime/10/78745.jpg	{}	False
5420	Kemono no Souja Erin	Winter 2009	{'Drama', 'Fantasy', 'Slice of Life'}	TV	50	8.41	54927	https://cdn.myanimelist.net/images/anime/9/19845.jpg	{}	False
486	Kino no Tabi: The Beautiful World	Spring 2003	{'Action', 'Adventure', 'Psychological', 'Slice of Life'}	TV	13	8.41	166394	https://cdn.myanimelist.net/images/anime/1884/93539.jpg	{1379}	False
18115	Magi: The Kingdom of Magic	Fall 2013	{'Action', 'Adventure', 'Magic', 'Fantasy', 'Shounen'}	TV	25	8.41	434826	https://cdn.myanimelist.net/images/anime/13/55039.jpg	{14513}	False
30230	Diamond no Ace: Second Season	Spring 2015	{'Comedy', 'Sports', 'School', 'Shounen'}	TV	51	8.4	67104	https://cdn.myanimelist.net/images/anime/9/74398.jpg	{18689}	False
28701	Fate/stay night: Unlimited Blade Works 2nd Season	Spring 2015	{'Action', 'Fantasy', 'Magic', 'Supernatural'}	TV	13	8.39	395503	https://cdn.myanimelist.net/images/anime/11/72863.jpg	{22297}	False
1698	Nodame Cantabile	Winter 2007	{'Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Josei'}	TV	23	8.39	217035	https://cdn.myanimelist.net/images/anime/9/11986.jpg	{}	False
30503	Noragami Aragoto	Fall 2015	{'Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen'}	TV	13	8.39	657115	https://cdn.myanimelist.net/images/anime/1689/94850.jpg	{20507}	False
5040	One Outs	Fall 2008	{'Sports', 'Psychological', 'Seinen'}	TV	25	8.39	133382	https://cdn.myanimelist.net/images/anime/13/22669.jpg	{}	False
45	Rurouni Kenshin: Meiji Kenkaku Romantan	Winter 1996	{'Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen'}	TV	94	8.39	304137	https://cdn.myanimelist.net/images/anime/7/6803.jpg	{44}	False
35790	Tate no Yuusha no Nariagari	Winter 2019	{'Action', 'Adventure', 'Drama', 'Fantasy'}	TV	25	8.39	315270	https://cdn.myanimelist.net/images/anime/1068/97169.jpg	{}	False
14719	JoJo no Kimyou na Bouken (TV)	Fall 2012	{'Action', 'Adventure', 'Supernatural', 'Vampire', 'Shounen'}	TV	26	8.38	447618	https://cdn.myanimelist.net/images/anime/3/40409.jpg	{}	False
4081	Natsume Yuujinchou	Summer 2008	{'Slice of Life', 'Supernatural', 'Drama', 'Fantasy', 'Shoujo'}	TV	13	8.38	318054	https://cdn.myanimelist.net/images/anime/7/28859.jpg	{}	False
31240	Re:Zero kara Hajimeru Isekai Seikatsu	Spring 2016	{'Drama', 'Fantasy', 'Psychological', 'Thriller'}	TV	25	8.38	875947	https://cdn.myanimelist.net/images/anime/11/79410.jpg	{38414}	False
32937	Kono Subarashii Sekai ni Shukufuku wo! 2	Winter 2017	{'Adventure', 'Comedy', 'Parody', 'Supernatural', 'Magic', 'Fantasy'}	TV	10	8.37	545764	https://cdn.myanimelist.net/images/anime/2/83188.jpg	{30831}	False
1210	NHK ni Youkoso!	Summer 2006	{'Comedy', 'Psychological', 'Drama', 'Romance'}	TV	24	8.37	427860	https://cdn.myanimelist.net/images/anime/3/52675.jpg	{}	False
19815	No Game No Life	Spring 2014	{'Game', 'Adventure', 'Comedy', 'Supernatural', 'Ecchi', 'Fantasy'}	TV	12	8.37	1140049	https://cdn.myanimelist.net/images/anime/5/65187.jpg	{33674}	False
4224	Toradora!	Fall 2008	{'Slice of Life', 'Comedy', 'Romance', 'School'}	TV	25	8.37	1041871	https://cdn.myanimelist.net/images/anime/13/22128.jpg	{}	False
